place_name,district,latitude,longitude,category,avg_cost,best_season,trip_duration,rating,popularity
Lalbagh Botanical Garden,Bengaluru Urban,12.9507,77.5848,nature,50,all,1,4.5,95
Cubbon Park,Bengaluru Urban,12.9734,77.5913,nature,0,all,1,4.4,90
Bangalore Palace,Bengaluru Urban,12.9988,77.5921,heritage,500,winter,1,4.2,88
ISKCON Temple,Bengaluru Urban,13.0102,77.5511,temple,100,all,1,4.7,92
Bannerghatta Biological Park,Bengaluru Urban,12.7964,77.5753,nature,400,winter,1,4.3,85
Visvesvaraya Museum,Bengaluru Urban,12.9752,77.5963,heritage,100,all,1,4.6,82
Bull Temple,Bengaluru Urban,12.9421,77.5683,temple,0,all,1,4.5,78
Commercial Street,Bengaluru Urban,12.9822,77.6083,heritage,1000,all,1,4.1,94
Vidhana Soudha,Bengaluru Urban,12.9796,77.5906,heritage,0,all,1,4.8,96
Jawaharlal Nehru Planetarium,Bengaluru Urban,12.9849,77.5891,nature,100,all,1,4.2,75
St. Mary's Basilica,Bengaluru Urban,12.9847,77.6049,temple,0,all,1,4.4,70
Ulsoor Lake,Bengaluru Urban,12.9818,77.6224,nature,50,monsoon,1,4,65
Tipu Sultan's Summer Palace,Bengaluru Urban,12.9593,77.5738,heritage,50,winter,1,4.1,68
National Gallery of Modern Art,Bengaluru Urban,12.9897,77.5894,heritage,100,all,1,4.5,60
Lumbini Gardens,Bengaluru Urban,13.0416,77.6111,nature,200,summer,1,3.8,55
Freedom Park,Bengaluru Urban,12.9772,77.5804,heritage,0,all,1,3.9,50
Turahalli Forest,Bengaluru Urban,12.8795,77.5255,adventure,0,winter,1,4.1,45
Hesaraghatta Lake,Bengaluru Urban,13.1364,77.4812,nature,0,monsoon,1,4.2,40
Orion Mall,Bengaluru Urban,13.0111,77.555,heritage,1500,all,1,4.6,85
Wonderla,Bengaluru Urban,12.8343,77.401,adventure,1800,summer,1,4.7,90
Karnataka Chitrakala Parishath,Bengaluru Urban,12.9877,77.5835,heritage,50,all,1,4.5,58
Venkatappa Art Gallery,Bengaluru Urban,12.9755,77.5961,heritage,50,all,1,4.2,52
Brigade Road,Bengaluru Urban,12.9738,77.6072,heritage,500,all,1,4.4,92
M Chinnaswamy Stadium,Bengaluru Urban,12.9788,77.5996,heritage,200,all,1,4.6,88
Dodda Alada Mara,Bengaluru Urban,12.92,77.39,nature,0,all,1,4.1,72
Mysore Palace,Mysore,12.3051,76.6551,heritage,100,all,1,4.9,100
Chamundi Hill,Mysore,12.2741,76.6741,temple,0,all,1,4.8,98
Brindavan Gardens,Mysore,12.4241,76.5741,nature,50,winter,1,4.6,95
Mysore Zoo,Mysore,12.3021,76.6641,nature,100,winter,1,4.7,92
St. Philomena's Church,Mysore,12.3211,76.6591,temple,0,all,1,4.6,88
Jaganmohan Palace,Mysore,12.3061,76.6501,heritage,50,all,1,4.4,85
Karanji Lake,Mysore,12.3021,76.6741,nature,50,winter,1,4.3,80
Railway Museum,Mysore,12.3161,76.6451,heritage,50,all,1,4.2,75
Lalitha Mahal Palace,Mysore,12.2981,76.6941,heritage,200,all,1,4.5,78
Somanathapura Temple,Mysore,12.2741,76.8841,heritage,50,all,1,4.9,90
KRS Dam,Mysore,12.4241,76.5721,nature,50,monsoon,1,4.5,92
Natural History Museum,Mysore,12.3021,76.6781,heritage,0,all,1,4.1,65
RK Narayan House,Mysore,12.3241,76.6421,heritage,50,all,1,4.3,60
GRS Fantasy Park,Mysore,12.3541,76.6341,adventure,900,summer,1,4.4,82
Melukote,Mysore,12.6641,76.6541,temple,0,all,1,4.7,85
Talakadu,Mysore,12.1941,77.0241,heritage,0,winter,1,4.5,80
T Narasipura Sangama,Mysore,12.2141,76.9141,temple,0,all,1,4.2,65
Nanjangud Temple,Mysore,12.1141,76.6741,temple,0,all,1,4.8,88
Bylakuppe Golden Temple,Mysore,12.4241,75.9641,temple,0,all,1,4.9,94
Bandipur National Park,Mysore,11.6641,76.6241,nature,300,winter,2,4.8,96
Crawford Hall,Mysore,12.3041,76.6441,heritage,0,all,1,4,50
Happy Man Park,Mysore,12.3241,76.6241,nature,0,all,1,3.8,45
Kukkarahalli Lake,Mysore,12.3081,76.6341,nature,0,winter,1,4.3,70
Lingabudi Lake,Mysore,12.2841,76.6141,nature,0,winter,1,4.1,55
Sand Sculpture Museum,Mysore,12.2841,76.6781,heritage,50,all,1,4.2,62
Virupaksha Temple,Vijayanagara,15.335,76.46,temple,0,all,1,4.8,98
Vittala Temple,Vijayanagara,15.3389,76.4733,heritage,50,all,1,4.9,95
Lotus Mahal,Vijayanagara,15.3312,76.4678,heritage,40,winter,1,4.6,88
Elephant Stables,Vijayanagara,15.3325,76.4712,heritage,40,winter,1,4.5,85
Hazara Rama Temple,Vijayanagara,15.333,76.4645,heritage,0,all,1,4.7,82
Queen's Bath,Vijayanagara,15.3268,76.4672,heritage,0,winter,1,4.4,78
Matanga Hill,Vijayanagara,15.3355,76.466,adventure,0,winter,1,4.8,90
Hemakuta Hill,Vijayanagara,15.334,76.459,heritage,0,all,1,4.7,84
Achyutaraya Temple,Vijayanagara,15.3365,76.4705,temple,0,all,1,4.6,76
Tungabhadra Dam,Vijayanagara,15.2635,76.3392,nature,20,monsoon,1,4.5,92
Stone Chariot,Vijayanagara,15.3391,76.4735,heritage,0,all,1,4.9,97
Ugra Narasimha Statue,Vijayanagara,15.3321,76.4592,heritage,0,all,1,4.8,89
Badavi Linga,Vijayanagara,15.3323,76.4593,temple,0,all,1,4.7,81
King's Balance,Vijayanagara,15.3402,76.4745,heritage,0,all,1,4.3,65
Sasivekalu Ganesha,Vijayanagara,15.332,76.4585,temple,0,all,1,4.6,74
Kadalekalu Ganesha,Vijayanagara,15.3338,76.4588,temple,0,all,1,4.5,72
Stepped Tank,Vijayanagara,15.3315,76.464,heritage,0,winter,1,4.7,80
Mahanavami Dibba,Vijayanagara,15.3305,76.4645,heritage,0,winter,1,4.4,70
Daroji Bear Sanctuary,Vijayanagara,15.266,76.672,nature,300,winter,1,4.3,60
Zanana Enclosure,Vijayanagara,15.331,76.4675,heritage,40,winter,1,4.2,68
Anjanadri Hill,Vijayanagara,15.345,76.485,adventure,0,winter,1,4.9,94
Old Palace Remains,Vijayanagara,15.33,76.462,heritage,0,winter,1,4,55
Riverside Ruins,Vijayanagara,15.338,76.465,heritage,0,all,1,4.5,62
Sanapur Lake,Vijayanagara,15.352,76.458,nature,100,winter,1,4.6,80
Pampa Sarovar,Vijayanagara,15.356,76.478,temple,0,all,1,4.4,58
Abbey Falls,Kodagu,12.4505,75.717,nature,50,monsoon,1,4.7,92
Raja's Seat,Kodagu,12.4168,75.738,nature,20,winter,1,4.6,90
Talakaveri,Kodagu,12.3881,75.4883,temple,0,all,1,4.8,95
Bhagamandala,Kodagu,12.392,75.5264,temple,0,all,1,4.5,88
Dubare Elephant Camp,Kodagu,12.3667,75.9,nature,150,winter,1,4.4,85
Iruppu Falls,Kodagu,12.0125,75.9675,nature,50,monsoon,1,4.7,82
Tadiandamol Peak,Kodagu,12.2178,75.6136,adventure,0,winter,1,4.9,80
Mandalpatti Peak,Kodagu,12.4941,75.7241,adventure,500,winter,1,4.8,88
Namdroling Monastery,Kodagu,12.4296,75.9674,temple,0,all,1,4.9,96
Nagarhole National Park,Kodagu,12.0344,76.161,nature,300,winter,2,4.8,94
Madikeri Fort,Kodagu,12.4208,75.7397,heritage,0,all,1,4.2,78
Chelavara Falls,Kodagu,12.2355,75.6322,nature,0,monsoon,1,4.4,70
Mallalli Falls,Kodagu,12.6567,75.6833,nature,0,monsoon,1,4.5,72
Honnamana Kere,Kodagu,12.645,75.8167,temple,0,all,1,4.1,60
Omkareshwara Temple,Kodagu,12.4225,75.7389,temple,0,all,1,4.3,75
Cauvery Nisargadhama,Kodagu,12.4533,75.9322,nature,50,all,1,4,80
Gaddige Tombs,Kodagu,12.4289,75.7422,heritage,10,all,1,4.1,65
Brahmagiri Peak,Kodagu,11.9967,75.9622,adventure,200,winter,1,4.6,68
Chiklihole Reservoir,Kodagu,12.38,75.87,nature,0,monsoon,1,4.2,55
Harangi Dam,Kodagu,12.4933,75.9008,nature,20,monsoon,1,4.3,72
Coffee Plantation Tours,Kodagu,12.42,75.73,nature,300,winter,1,4.5,82
Kote Betta Trek,Kodagu,12.5167,75.7667,adventure,0,winter,1,4.4,60
Barapole River Rafting,Kodagu,12,75.88,adventure,1200,monsoon,1,4.7,75
Nalknad Palace,Kodagu,12.2333,75.645,heritage,0,all,1,4.2,50
Pushpagiri Sanctuary,Kodagu,12.66,75.68,nature,100,winter,1,4.6,64
Mullayanagiri,Chikkamagaluru,13.3911,75.7214,nature,0,winter,1,4.9,98
Baba Budangiri,Chikkamagaluru,13.4225,75.7641,adventure,0,winter,1,4.7,95
Hebbe Falls,Chikkamagaluru,13.5411,75.7241,nature,500,monsoon,1,4.8,92
